Vardas	       Pavarde	      Galutinis pazymys pagal mediana
Vardas707      Pavarde707     4.4                           
Vardas708      Pavarde708     4.4                           
Vardas710      Pavarde710     3.8                           
Vardas712      Pavarde712     2.6                           
Vardas714      Pavarde714     2.6                           
Vardas715      Pavarde715     3.2                           
Vardas720      Pavarde720     3.8                           
Vardas721      Pavarde721     4.4                           
Vardas724      Pavarde724     4.4                           
Vardas725      Pavarde725     3.8                           
Vardas726      Pavarde726     4.4                           
Vardas728      Pavarde728     4.4                           
Vardas734      Pavarde734     2.6                           
Vardas735      Pavarde735     3.8                           
Vardas737      Pavarde737     3.2                           
Vardas738      Pavarde738     2.6                           
Vardas740      Pavarde740     3.8                           
Vardas741      Pavarde741     3.8                           
Vardas743      Pavarde743     2.6                           
Vardas746      Pavarde746     3.2                           
Vardas747      Pavarde747     4.4                           
Vardas748      Pavarde748     3.8                           
Vardas750      Pavarde750     4.4                           
Vardas751      Pavarde751     3.8                           
Vardas754      Pavarde754     3.8                           
Vardas762      Pavarde762     3.8                           
Vardas764      Pavarde764     2.6                           
Vardas766      Pavarde766     3.2                           
Vardas768      Pavarde768     4.4                           
Vardas769      Pavarde769     2.6                           
Vardas770      Pavarde770     4.4                           
Vardas772      Pavarde772     3.8                           
Vardas775      Pavarde775     3.8                           
Vardas777      Pavarde777     3.8                           
Vardas781      Pavarde781     3.2                           
Vardas782      Pavarde782     2.6                           
Vardas787      Pavarde787     2.6                           
Vardas788      Pavarde788     3.2                           
Vardas789      Pavarde789     4.4                           
Vardas791      Pavarde791     3.8                           
Vardas792      Pavarde792     2.6                           
Vardas796      Pavarde796     3.2                           
Vardas803      Pavarde803     4.4                           
Vardas805      Pavarde805     3.2                           
Vardas807      Pavarde807     4.4                           
Vardas811      Pavarde811     4.4                           
Vardas812      Pavarde812     3.2                           
Vardas813      Pavarde813     3.2                           
Vardas814      Pavarde814     3.8                           
Vardas818      Pavarde818     4.4                           
Vardas820      Pavarde820     2.6                           
Vardas821      Pavarde821     2.6                           
Vardas823      Pavarde823     3.8                           
Vardas824      Pavarde824     4.4                           
Vardas825      Pavarde825     3.2                           
Vardas829      Pavarde829     3.8                           
Vardas831      Pavarde831     2.6                           
Vardas832      Pavarde832     3.2                           
Vardas834      Pavarde834     2.6                           
Vardas837      Pavarde837     2.6                           
Vardas839      Pavarde839     4.4                           
Vardas840      Pavarde840     4.4                           
Vardas845      Pavarde845     4.4                           
Vardas848      Pavarde848     3.8                           
Vardas852      Pavarde852     3.2                           
Vardas856      Pavarde856     3.8                           
Vardas859      Pavarde859     2.6                           
Vardas860      Pavarde860     2.6                           
Vardas862      Pavarde862     4.4                           
Vardas863      Pavarde863     4.4                           
Vardas864      Pavarde864     2.6                           
Vardas866      Pavarde866     3.2                           
Vardas868      Pavarde868     3.8                           
Vardas869      Pavarde869     3.2                           
Vardas875      Pavarde875     2.6                           
Vardas877      Pavarde877     3.2                           
Vardas878      Pavarde878     3.2                           
Vardas885      Pavarde885     2.6                           
Vardas886      Pavarde886     4.4                           
Vardas888      Pavarde888     3.2                           
Vardas897      Pavarde897     3.2                           
Vardas901      Pavarde901     2.6                           
Vardas902      Pavarde902     3.2                           
Vardas905      Pavarde905     3.2                           
Vardas907      Pavarde907     2.6                           
Vardas909      Pavarde909     3.2                           
Vardas910      Pavarde910     3.8                           
Vardas913      Pavarde913     3.8                           
Vardas919      Pavarde919     4.4                           
Vardas920      Pavarde920     3.2                           
Vardas924      Pavarde924     4.4                           
Vardas925      Pavarde925     2.6                           
Vardas927      Pavarde927     3.2                           
Vardas928      Pavarde928     2.6                           
Vardas935      Pavarde935     4.4                           
Vardas937      Pavarde937     3.2                           
Vardas938      Pavarde938     3.2                           
Vardas940      Pavarde940     2.6                           
Vardas941      Pavarde941     2.6                           
Vardas943      Pavarde943     4.4                           
Vardas948      Pavarde948     3.2                           
Vardas949      Pavarde949     3.8                           
Vardas951      Pavarde951     4.4                           
Vardas952      Pavarde952     2.6                           
Vardas953      Pavarde953     2.6                           
Vardas954      Pavarde954     2.6                           
Vardas955      Pavarde955     4.4                           
Vardas956      Pavarde956     3.2                           
Vardas961      Pavarde961     3.2                           
Vardas962      Pavarde962     3.2                           
Vardas964      Pavarde964     2.6                           
Vardas966      Pavarde966     3.8                           
Vardas967      Pavarde967     3.8                           
Vardas969      Pavarde969     3.8                           
Vardas970      Pavarde970     3.8                           
Vardas971      Pavarde971     3.8                           
Vardas981      Pavarde981     3.2                           
Vardas982      Pavarde982     3.8                           
Vardas985      Pavarde985     4.4                           
Vardas986      Pavarde986     4.4                           
Vardas987      Pavarde987     3.2                           
Vardas992      Pavarde992     2.6                           
Vardas996      Pavarde996     2.6                           
Vardas998      Pavarde998     2.6                           
Vardas999      Pavarde999     3.2                           
Vardas1000     Pavarde1000    2.6                           
