Vardas	       Pavarde	      Galutinis pazymys pagal mediana
Vardas183      Pavarde183     4.8                                  
Vardas184      Pavarde184     4.8                                  
Vardas185      Pavarde185     3.6                                  
Vardas186      Pavarde186     8.4                                  
Vardas187      Pavarde187     5.4                                  
Vardas188      Pavarde188     7.8                                  
Vardas189      Pavarde189     7.8                                  
Vardas190      Pavarde190     8.4                                  
Vardas191      Pavarde191     6.6                                  
Vardas192      Pavarde192     8.4                                  
Vardas193      Pavarde193     3                                    
Vardas194      Pavarde194     8.4                                  
Vardas195      Pavarde195     6.6                                  
Vardas196      Pavarde196     5.4                                  
Vardas197      Pavarde197     4.8                                  
Vardas198      Pavarde198     3                                    
Vardas199      Pavarde199     5.4                                  
Vardas200      Pavarde200     4.2                                  
Vardas201      Pavarde201     6                                    
Vardas202      Pavarde202     7.8                                  
Vardas203      Pavarde203     5.4                                  
Vardas204      Pavarde204     8.4                                  
Vardas205      Pavarde205     4.2                                  
Vardas206      Pavarde206     7.8                                  
Vardas207      Pavarde207     4.8                                  
Vardas208      Pavarde208     7.2                                  
Vardas209      Pavarde209     8.4                                  
Vardas210      Pavarde210     7.2                                  
Vardas211      Pavarde211     3                                    
Vardas212      Pavarde212     6                                    
Vardas213      Pavarde213     3.6                                  
Vardas214      Pavarde214     4.2                                  
Vardas215      Pavarde215     7.2                                  
Vardas216      Pavarde216     7.2                                  
Vardas217      Pavarde217     3.6                                  
Vardas218      Pavarde218     6                                    
Vardas219      Pavarde219     3.6                                  
Vardas220      Pavarde220     4.2                                  
Vardas221      Pavarde221     8.4                                  
Vardas222      Pavarde222     7.8                                  
Vardas223      Pavarde223     4.8                                  
Vardas224      Pavarde224     3.6                                  
Vardas225      Pavarde225     8.4                                  
Vardas226      Pavarde226     4.2                                  
Vardas227      Pavarde227     3                                    
Vardas228      Pavarde228     4.2                                  
Vardas229      Pavarde229     8.4                                  
Vardas230      Pavarde230     3.6                                  
Vardas231      Pavarde231     5.4                                  
Vardas232      Pavarde232     7.2                                  
Vardas233      Pavarde233     4.2                                  
Vardas234      Pavarde234     6.6                                  
Vardas235      Pavarde235     3.6                                  
Vardas236      Pavarde236     6.6                                  
Vardas237      Pavarde237     3                                    
Vardas238      Pavarde238     6.6                                  
Vardas239      Pavarde239     5.4                                  
Vardas240      Pavarde240     8.4                                  
Vardas241      Pavarde241     7.2                                  
Vardas242      Pavarde242     3                                    
Vardas243      Pavarde243     7.8                                  
Vardas244      Pavarde244     3                                    
Vardas245      Pavarde245     4.8                                  
Vardas246      Pavarde246     5.4                                  
Vardas247      Pavarde247     4.8                                  
Vardas248      Pavarde248     6.6                                  
Vardas249      Pavarde249     3.6                                  
Vardas250      Pavarde250     3                                    
Vardas251      Pavarde251     6.6                                  
Vardas252      Pavarde252     7.8                                  
Vardas253      Pavarde253     3                                    
Vardas254      Pavarde254     3                                    
Vardas255      Pavarde255     7.2                                  
Vardas256      Pavarde256     6.6                                  
Vardas257      Pavarde257     7.8                                  
Vardas258      Pavarde258     4.8                                  
Vardas259      Pavarde259     4.2                                  
Vardas260      Pavarde260     3                                    
Vardas261      Pavarde261     7.8                                  
Vardas262      Pavarde262     5.4                                  
Vardas263      Pavarde263     3                                    
Vardas264      Pavarde264     3.6                                  
Vardas265      Pavarde265     7.2                                  
Vardas266      Pavarde266     6                                    
Vardas267      Pavarde267     7.2                                  
Vardas268      Pavarde268     7.8                                  
Vardas269      Pavarde269     4.8                                  
Vardas270      Pavarde270     5.4                                  
Vardas271      Pavarde271     3                                    
Vardas272      Pavarde272     6.6                                  
Vardas273      Pavarde273     5.4                                  
Vardas274      Pavarde274     3.6                                  
Vardas275      Pavarde275     5.4                                  
Vardas276      Pavarde276     6                                    
Vardas277      Pavarde277     7.2                                  
Vardas278      Pavarde278     6                                    
Vardas279      Pavarde279     3.6                                  
Vardas280      Pavarde280     3.6                                  
Vardas281      Pavarde281     8.4                                  
Vardas282      Pavarde282     6.6                                  
Vardas283      Pavarde283     7.2                                  
Vardas284      Pavarde284     5.4                                  
Vardas285      Pavarde285     3.6                                  
Vardas286      Pavarde286     6                                    
Vardas287      Pavarde287     4.2                                  
Vardas288      Pavarde288     7.2                                  
Vardas289      Pavarde289     3                                    
Vardas290      Pavarde290     5.4                                  
Vardas291      Pavarde291     5.4                                  
Vardas292      Pavarde292     6                                    
Vardas293      Pavarde293     8.4                                  
Vardas294      Pavarde294     5.4                                  
Vardas295      Pavarde295     3                                    
Vardas296      Pavarde296     8.4                                  
Vardas297      Pavarde297     8.4                                  
Vardas298      Pavarde298     4.2                                  
Vardas299      Pavarde299     7.8                                  
Vardas300      Pavarde300     4.8                                  
Vardas301      Pavarde301     6.6                                  
Vardas302      Pavarde302     3                                    
Vardas303      Pavarde303     7.8                                  
Vardas304      Pavarde304     8.4                                  
Vardas305      Pavarde305     7.8                                  
Vardas306      Pavarde306     6                                    
Vardas307      Pavarde307     8.4                                  
Vardas308      Pavarde308     3                                    
Vardas309      Pavarde309     4.8                                  
Vardas310      Pavarde310     8.4                                  
Vardas311      Pavarde311     4.8                                  
Vardas312      Pavarde312     5.4                                  
Vardas313      Pavarde313     7.8                                  
Vardas314      Pavarde314     5.4                                  
Vardas315      Pavarde315     4.2                                  
Vardas316      Pavarde316     6.6                                  
Vardas317      Pavarde317     3                                    
Vardas318      Pavarde318     8.4                                  
Vardas319      Pavarde319     3                                    
Vardas320      Pavarde320     7.8                                  
Vardas321      Pavarde321     6.6                                  
Vardas322      Pavarde322     4.2                                  
Vardas323      Pavarde323     8.4                                  
Vardas324      Pavarde324     4.2                                  
Vardas325      Pavarde325     8.4                                  
Vardas326      Pavarde326     3.6                                  
Vardas327      Pavarde327     6                                    
Vardas328      Pavarde328     6.6                                  
Vardas329      Pavarde329     6                                    
Vardas330      Pavarde330     8.4                                  
Vardas331      Pavarde331     6.6                                  
Vardas332      Pavarde332     4.2                                  
Vardas333      Pavarde333     7.8                                  
Vardas334      Pavarde334     3                                    
Vardas335      Pavarde335     8.4                                  
Vardas336      Pavarde336     6.6                                  
Vardas337      Pavarde337     8.4                                  
Vardas338      Pavarde338     7.8                                  
Vardas339      Pavarde339     6                                    
Vardas340      Pavarde340     7.8                                  
Vardas341      Pavarde341     5.4                                  
Vardas342      Pavarde342     7.2                                  
Vardas343      Pavarde343     4.2                                  
Vardas344      Pavarde344     4.2                                  
Vardas345      Pavarde345     7.2                                  
Vardas346      Pavarde346     7.8                                  
Vardas347      Pavarde347     6                                    
Vardas348      Pavarde348     7.2                                  
Vardas349      Pavarde349     5.4                                  
Vardas350      Pavarde350     8.4                                  
Vardas351      Pavarde351     3.6                                  
Vardas352      Pavarde352     3.6                                  
Vardas353      Pavarde353     6                                    
Vardas354      Pavarde354     6                                    
Vardas355      Pavarde355     7.8                                  
Vardas356      Pavarde356     4.2                                  
Vardas357      Pavarde357     7.8                                  
Vardas358      Pavarde358     3.6                                  
Vardas359      Pavarde359     8.4                                  
Vardas360      Pavarde360     5.4                                  
Vardas361      Pavarde361     6.6                                  
Vardas362      Pavarde362     6                                    
Vardas363      Pavarde363     7.2                                  
Vardas364      Pavarde364     3                                    
Vardas365      Pavarde365     6.6                                  
Vardas366      Pavarde366     7.8                                  
Vardas367      Pavarde367     4.2                                  
Vardas368      Pavarde368     7.8                                  
Vardas369      Pavarde369     5.4                                  
Vardas370      Pavarde370     5.4                                  
Vardas371      Pavarde371     5.4                                  
Vardas372      Pavarde372     4.2                                  
Vardas373      Pavarde373     6.6                                  
Vardas374      Pavarde374     5.4                                  
Vardas375      Pavarde375     3                                    
Vardas376      Pavarde376     3                                    
Vardas377      Pavarde377     4.8                                  
Vardas378      Pavarde378     7.2                                  
Vardas379      Pavarde379     6.6                                  
Vardas380      Pavarde380     3                                    
Vardas381      Pavarde381     6                                    
Vardas382      Pavarde382     7.8                                  
Vardas383      Pavarde383     8.4                                  
Vardas384      Pavarde384     8.4                                  
Vardas385      Pavarde385     4.2                                  
Vardas386      Pavarde386     5.8                                  
Vardas387      Pavarde387     7.6                                  
Vardas388      Pavarde388     5.8                                  
Vardas389      Pavarde389     6                                    
Vardas390      Pavarde390     4.2                                  
Vardas391      Pavarde391     3.6                                  
Vardas392      Pavarde392     4.6                                  
Vardas393      Pavarde393     6.4                                  
Vardas394      Pavarde394     4.2                                  
Vardas395      Pavarde395     4.8                                  
Vardas396      Pavarde396     6                                    
Vardas397      Pavarde397     8.4                                  
Vardas398      Pavarde398     3                                    
Vardas399      Pavarde399     3                                    
Vardas400      Pavarde400     7.2                                  
Vardas401      Pavarde401     7                                    
Vardas402      Pavarde402     4.2                                  
Vardas403      Pavarde403     5.8                                  
Vardas404      Pavarde404     6                                    
Vardas405      Pavarde405     6.6                                  
Vardas406      Pavarde406     4                                    
Vardas407      Pavarde407     7.4                                  
Vardas408      Pavarde408     2.6                                  
Vardas409      Pavarde409     6.8                                  
Vardas410      Pavarde410     5                                    
Vardas411      Pavarde411     5.6                                  
Vardas412      Pavarde412     7.4                                  
Vardas413      Pavarde413     7.4                                  
Vardas414      Pavarde414     6.2                                  
Vardas415      Pavarde415     3.2                                  
Vardas416      Pavarde416     5.6                                  
Vardas417      Pavarde417     5.6                                  
Vardas418      Pavarde418     6.8                                  
Vardas419      Pavarde419     5                                    
Vardas420      Pavarde420     6.8                                  
Vardas421      Pavarde421     3.8                                  
Vardas422      Pavarde422     8                                    
Vardas423      Pavarde423     2.6                                  
Vardas424      Pavarde424     6.8                                  
Vardas425      Pavarde425     5                                    
Vardas426      Pavarde426     5                                    
Vardas427      Pavarde427     6.2                                  
Vardas428      Pavarde428     2.6                                  
Vardas429      Pavarde429     4.4                                  
Vardas430      Pavarde430     2.6                                  
Vardas431      Pavarde431     4.4                                  
Vardas432      Pavarde432     5                                    
Vardas433      Pavarde433     4.4                                  
Vardas434      Pavarde434     3.8                                  
Vardas435      Pavarde435     6.2                                  
Vardas436      Pavarde436     5.6                                  
Vardas437      Pavarde437     4.4                                  
Vardas438      Pavarde438     4.4                                  
Vardas439      Pavarde439     3.2                                  
Vardas440      Pavarde440     7.4                                  
Vardas441      Pavarde441     2.6                                  
Vardas442      Pavarde442     7.4                                  
Vardas443      Pavarde443     2.6                                  
Vardas444      Pavarde444     5.6                                  
Vardas445      Pavarde445     3.8                                  
Vardas446      Pavarde446     5.6                                  
Vardas447      Pavarde447     6.2                                  
Vardas448      Pavarde448     5.6                                  
Vardas449      Pavarde449     4.4                                  
Vardas450      Pavarde450     6.8                                  
Vardas451      Pavarde451     5                                    
Vardas452      Pavarde452     8                                    
Vardas453      Pavarde453     6.2                                  
Vardas454      Pavarde454     7.4                                  
Vardas455      Pavarde455     5.6                                  
Vardas456      Pavarde456     5                                    
Vardas457      Pavarde457     7.4                                  
Vardas458      Pavarde458     6.2                                  
Vardas459      Pavarde459     6.2                                  
Vardas460      Pavarde460     8                                    
Vardas461      Pavarde461     5.6                                  
Vardas462      Pavarde462     2.6                                  
Vardas463      Pavarde463     6.2                                  
Vardas464      Pavarde464     2.6                                  
Vardas465      Pavarde465     3.2                                  
Vardas466      Pavarde466     7.4                                  
Vardas467      Pavarde467     5                                    
Vardas468      Pavarde468     2.6                                  
Vardas469      Pavarde469     5.6                                  
Vardas470      Pavarde470     5.6                                  
Vardas471      Pavarde471     3.8                                  
Vardas472      Pavarde472     5.6                                  
Vardas473      Pavarde473     6.8                                  
Vardas474      Pavarde474     8                                    
Vardas475      Pavarde475     3.8                                  
Vardas476      Pavarde476     7.4                                  
Vardas477      Pavarde477     6.2                                  
Vardas478      Pavarde478     8                                    
Vardas479      Pavarde479     6.2                                  
Vardas480      Pavarde480     3.8                                  
Vardas481      Pavarde481     7.4                                  
Vardas482      Pavarde482     5.6                                  
Vardas483      Pavarde483     3.2                                  
Vardas484      Pavarde484     5                                    
Vardas485      Pavarde485     3.2                                  
Vardas486      Pavarde486     3.2                                  
Vardas487      Pavarde487     4.4                                  
Vardas488      Pavarde488     7.4                                  
Vardas489      Pavarde489     6.2                                  
Vardas490      Pavarde490     2.6                                  
Vardas491      Pavarde491     5                                    
Vardas492      Pavarde492     6.8                                  
Vardas493      Pavarde493     3.2                                  
Vardas494      Pavarde494     6.2                                  
Vardas495      Pavarde495     8                                    
Vardas496      Pavarde496     6.8                                  
Vardas497      Pavarde497     3.2                                  
Vardas498      Pavarde498     6.2                                  
Vardas499      Pavarde499     3.2                                  
Vardas500      Pavarde500     3.2                                  
Vardas501      Pavarde501     4.4                                  
Vardas502      Pavarde502     3.8                                  
Vardas503      Pavarde503     3.8                                  
Vardas504      Pavarde504     2.6                                  
Vardas505      Pavarde505     3.8                                  
Vardas506      Pavarde506     5.6                                  
Vardas507      Pavarde507     4.4                                  
Vardas508      Pavarde508     2.6                                  
Vardas509      Pavarde509     6.8                                  
Vardas510      Pavarde510     5.6                                  
Vardas511      Pavarde511     5                                    
Vardas512      Pavarde512     8                                    
Vardas513      Pavarde513     3.2                                  
Vardas514      Pavarde514     5                                    
Vardas515      Pavarde515     3.2                                  
Vardas516      Pavarde516     6.8                                  
Vardas517      Pavarde517     5                                    
Vardas518      Pavarde518     8                                    
Vardas519      Pavarde519     7.4                                  
Vardas520      Pavarde520     2.6                                  
Vardas521      Pavarde521     3.2                                  
Vardas522      Pavarde522     6.2                                  
Vardas523      Pavarde523     7.4                                  
Vardas524      Pavarde524     3.2                                  
Vardas525      Pavarde525     4.4                                  
Vardas526      Pavarde526     8                                    
Vardas527      Pavarde527     2.6                                  
Vardas528      Pavarde528     6.2                                  
Vardas529      Pavarde529     3.2                                  
Vardas530      Pavarde530     4.4                                  
Vardas531      Pavarde531     2.6                                  
Vardas532      Pavarde532     3.2                                  
Vardas533      Pavarde533     3.2                                  
Vardas534      Pavarde534     4.4                                  
Vardas535      Pavarde535     3.2                                  
Vardas536      Pavarde536     3.8                                  
Vardas537      Pavarde537     3.8                                  
Vardas538      Pavarde538     6.2                                  
Vardas539      Pavarde539     3.2                                  
Vardas540      Pavarde540     4.4                                  
Vardas541      Pavarde541     4.4                                  
Vardas542      Pavarde542     4.4                                  
Vardas543      Pavarde543     6.2                                  
Vardas544      Pavarde544     3.8                                  
Vardas545      Pavarde545     3.8                                  
Vardas546      Pavarde546     2.6                                  
Vardas547      Pavarde547     6.2                                  
Vardas548      Pavarde548     4.4                                  
Vardas549      Pavarde549     5                                    
Vardas550      Pavarde550     8                                    
Vardas551      Pavarde551     8                                    
Vardas552      Pavarde552     4.4                                  
Vardas553      Pavarde553     2.6                                  
Vardas554      Pavarde554     8                                    
Vardas555      Pavarde555     6.8                                  
Vardas556      Pavarde556     3.2                                  
Vardas557      Pavarde557     2.6                                  
Vardas558      Pavarde558     3.8                                  
Vardas559      Pavarde559     3.2                                  
Vardas560      Pavarde560     3.2                                  
Vardas561      Pavarde561     7.4                                  
Vardas562      Pavarde562     5                                    
Vardas563      Pavarde563     5.6                                  
Vardas564      Pavarde564     7.4                                  
Vardas565      Pavarde565     5                                    
Vardas566      Pavarde566     5.6                                  
Vardas567      Pavarde567     5                                    
Vardas568      Pavarde568     3.2                                  
Vardas569      Pavarde569     4.4                                  
Vardas570      Pavarde570     3.2                                  
Vardas571      Pavarde571     3.8                                  
Vardas572      Pavarde572     6.8                                  
Vardas573      Pavarde573     3.2                                  
Vardas574      Pavarde574     5.6                                  
Vardas575      Pavarde575     2.6                                  
Vardas576      Pavarde576     5.6                                  
Vardas577      Pavarde577     2.6                                  
Vardas578      Pavarde578     3.2                                  
Vardas579      Pavarde579     2.6                                  
Vardas580      Pavarde580     3.8                                  
Vardas581      Pavarde581     4.4                                  
Vardas582      Pavarde582     8                                    
Vardas583      Pavarde583     3.2                                  
Vardas584      Pavarde584     6.2                                  
Vardas585      Pavarde585     3.2                                  
Vardas586      Pavarde586     6.8                                  
Vardas587      Pavarde587     6.2                                  
Vardas588      Pavarde588     7.4                                  
Vardas589      Pavarde589     8                                    
Vardas590      Pavarde590     5.6                                  
Vardas591      Pavarde591     7.4                                  
Vardas592      Pavarde592     4.4                                  
Vardas593      Pavarde593     5                                    
Vardas594      Pavarde594     6.2                                  
Vardas595      Pavarde595     3.8                                  
Vardas596      Pavarde596     3.2                                  
Vardas597      Pavarde597     7.4                                  
Vardas598      Pavarde598     3.8                                  
Vardas599      Pavarde599     5.6                                  
Vardas600      Pavarde600     7                                    
Vardas601      Pavarde601     3.4                                  
Vardas602      Pavarde602     6.8                                  
Vardas603      Pavarde603     7.4                                  
Vardas604      Pavarde604     5.8                                  
Vardas605      Pavarde605     3.2                                  
Vardas606      Pavarde606     7.4                                  
Vardas607      Pavarde607     7.6                                  
Vardas608      Pavarde608     7.2                                  
Vardas609      Pavarde609     7.8                                  
Vardas610      Pavarde610     3                                    
Vardas611      Pavarde611     3.4                                  
Vardas612      Pavarde612     2.8                                  
Vardas613      Pavarde613     7.6                                  
Vardas614      Pavarde614     8.2                                  
Vardas615      Pavarde615     2.8                                  
Vardas616      Pavarde616     8.2                                  
Vardas617      Pavarde617     6                                    
Vardas618      Pavarde618     5.4                                  
Vardas619      Pavarde619     3.6                                  
Vardas620      Pavarde620     4.8                                  
Vardas621      Pavarde621     7.2                                  
Vardas622      Pavarde622     5.4                                  
Vardas623      Pavarde623     7.2                                  
Vardas624      Pavarde624     7.2                                  
Vardas625      Pavarde625     6.6                                  
Vardas626      Pavarde626     3                                    
Vardas627      Pavarde627     6                                    
Vardas628      Pavarde628     8.4                                  
Vardas629      Pavarde629     7.8                                  
Vardas630      Pavarde630     3                                    
Vardas631      Pavarde631     8.4                                  
Vardas632      Pavarde632     5.4                                  
Vardas633      Pavarde633     7.2                                  
Vardas634      Pavarde634     7.2                                  
Vardas635      Pavarde635     6                                    
Vardas636      Pavarde636     5.4                                  
Vardas637      Pavarde637     7.8                                  
Vardas638      Pavarde638     7.2                                  
Vardas639      Pavarde639     7.2                                  
Vardas640      Pavarde640     3                                    
Vardas641      Pavarde641     3                                    
Vardas642      Pavarde642     7.8                                  
Vardas643      Pavarde643     6                                    
Vardas644      Pavarde644     5.4                                  
Vardas645      Pavarde645     7.2                                  
Vardas646      Pavarde646     6.6                                  
Vardas647      Pavarde647     3.6                                  
Vardas648      Pavarde648     8.4                                  
Vardas649      Pavarde649     7.8                                  
Vardas650      Pavarde650     8.4                                  
Vardas651      Pavarde651     3                                    
Vardas652      Pavarde652     6.6                                  
