Vardas	       Pavarde	      Galutinis pazymys pagal mediana
Vardas561      Pavarde561     4.8                           
Vardas564      Pavarde564     4.8                           
Vardas566      Pavarde566     4.8                           
Vardas567      Pavarde567     4.8                           
Vardas571      Pavarde571     3                             
Vardas572      Pavarde572     3                             
Vardas577      Pavarde577     3                             
Vardas578      Pavarde578     4.8                           
Vardas580      Pavarde580     3                             
Vardas582      Pavarde582     4.2                           
Vardas585      Pavarde585     3                             
Vardas586      Pavarde586     3.6                           
Vardas588      Pavarde588     4.2                           
Vardas590      Pavarde590     4.2                           
Vardas592      Pavarde592     3                             
Vardas595      Pavarde595     4.2                           
Vardas596      Pavarde596     4.8                           
Vardas599      Pavarde599     3                             
Vardas601      Pavarde601     4.2                           
Vardas602      Pavarde602     4.8                           
Vardas610      Pavarde610     3                             
Vardas615      Pavarde615     3.6                           
Vardas616      Pavarde616     4.2                           
Vardas618      Pavarde618     3.6                           
Vardas619      Pavarde619     3                             
Vardas621      Pavarde621     4.2                           
Vardas623      Pavarde623     4.8                           
Vardas627      Pavarde627     4.2                           
Vardas628      Pavarde628     4.8                           
Vardas629      Pavarde629     4.2                           
Vardas630      Pavarde630     3                             
Vardas632      Pavarde632     4.2                           
Vardas634      Pavarde634     3                             
Vardas639      Pavarde639     3                             
Vardas640      Pavarde640     4.2                           
Vardas641      Pavarde641     3.6                           
Vardas643      Pavarde643     4.8                           
Vardas645      Pavarde645     3                             
Vardas646      Pavarde646     3.6                           
Vardas648      Pavarde648     4.2                           
Vardas652      Pavarde652     3.6                           
Vardas661      Pavarde661     4.2                           
Vardas663      Pavarde663     4.2                           
Vardas666      Pavarde666     3.6                           
Vardas667      Pavarde667     4.2                           
Vardas668      Pavarde668     3                             
Vardas669      Pavarde669     3.6                           
Vardas672      Pavarde672     3                             
Vardas673      Pavarde673     4.2                           
Vardas674      Pavarde674     3.6                           
Vardas676      Pavarde676     3                             
Vardas680      Pavarde680     4.2                           
Vardas681      Pavarde681     3.6                           
Vardas693      Pavarde693     4.8                           
Vardas696      Pavarde696     4.8                           
Vardas699      Pavarde699     4.8                           
Vardas711      Pavarde711     3.6                           
Vardas715      Pavarde715     3                             
Vardas716      Pavarde716     3                             
Vardas729      Pavarde729     4.2                           
Vardas731      Pavarde731     3                             
Vardas732      Pavarde732     4.8                           
Vardas737      Pavarde737     3.6                           
Vardas746      Pavarde746     3.6                           
Vardas749      Pavarde749     4.8                           
Vardas762      Pavarde762     4.2                           
Vardas763      Pavarde763     3.6                           
Vardas767      Pavarde767     4.8                           
Vardas774      Pavarde774     3.6                           
Vardas778      Pavarde778     3                             
Vardas783      Pavarde783     4.8                           
Vardas794      Pavarde794     3.6                           
Vardas797      Pavarde797     3.6                           
Vardas798      Pavarde798     3                             
Vardas799      Pavarde799     3                             
Vardas800      Pavarde800     3                             
Vardas804      Pavarde804     4.8                           
Vardas807      Pavarde807     4.2                           
Vardas811      Pavarde811     4.2                           
Vardas812      Pavarde812     4.2                           
Vardas814      Pavarde814     3.6                           
Vardas817      Pavarde817     3.6                           
Vardas818      Pavarde818     3                             
Vardas820      Pavarde820     4.8                           
Vardas821      Pavarde821     3.6                           
Vardas823      Pavarde823     3.6                           
Vardas824      Pavarde824     4.8                           
Vardas828      Pavarde828     4.2                           
Vardas829      Pavarde829     4.2                           
Vardas831      Pavarde831     4.2                           
Vardas832      Pavarde832     4.8                           
Vardas834      Pavarde834     4.2                           
Vardas835      Pavarde835     3.6                           
Vardas839      Pavarde839     3.6                           
Vardas840      Pavarde840     3.6                           
Vardas842      Pavarde842     3.6                           
Vardas846      Pavarde846     4.2                           
Vardas852      Pavarde852     4.8                           
Vardas853      Pavarde853     4.2                           
Vardas856      Pavarde856     4.2                           
Vardas857      Pavarde857     4.2                           
Vardas858      Pavarde858     3                             
Vardas859      Pavarde859     4.2                           
Vardas861      Pavarde861     3.6                           
Vardas866      Pavarde866     3.6                           
Vardas867      Pavarde867     3                             
Vardas870      Pavarde870     3.6                           
Vardas873      Pavarde873     3.6                           
Vardas874      Pavarde874     4.2                           
Vardas875      Pavarde875     3.6                           
Vardas877      Pavarde877     3.6                           
Vardas879      Pavarde879     3                             
Vardas880      Pavarde880     3                             
Vardas883      Pavarde883     4.8                           
Vardas884      Pavarde884     4.8                           
Vardas885      Pavarde885     3.6                           
Vardas886      Pavarde886     3                             
Vardas892      Pavarde892     3                             
Vardas894      Pavarde894     3                             
Vardas897      Pavarde897     4.8                           
Vardas902      Pavarde902     3.6                           
Vardas903      Pavarde903     3.6                           
Vardas905      Pavarde905     3                             
Vardas907      Pavarde907     2.6                           
Vardas908      Pavarde908     4.4                           
Vardas909      Pavarde909     3.8                           
Vardas911      Pavarde911     4.2                           
Vardas912      Pavarde912     4.8                           
Vardas913      Pavarde913     4.8                           
Vardas918      Pavarde918     3.6                           
Vardas923      Pavarde923     4.2                           
Vardas925      Pavarde925     4.2                           
Vardas927      Pavarde927     4.2                           
Vardas935      Pavarde935     4.2                           
Vardas936      Pavarde936     4.8                           
Vardas939      Pavarde939     3                             
Vardas945      Pavarde945     3                             
Vardas950      Pavarde950     3                             
Vardas952      Pavarde952     4.8                           
Vardas955      Pavarde955     4.8                           
Vardas957      Pavarde957     3.6                           
Vardas958      Pavarde958     4.8                           
Vardas959      Pavarde959     3.6                           
Vardas964      Pavarde964     4.8                           
Vardas970      Pavarde970     4.8                           
Vardas971      Pavarde971     4.8                           
Vardas972      Pavarde972     4.8                           
Vardas974      Pavarde974     4.2                           
Vardas977      Pavarde977     3                             
Vardas980      Pavarde980     3.6                           
Vardas986      Pavarde986     3.6                           
Vardas987      Pavarde987     3                             
Vardas989      Pavarde989     4.8                           
Vardas994      Pavarde994     3                             
Vardas997      Pavarde997     4.8                           
Vardas998      Pavarde998     3                             
Vardas999      Pavarde999     4.2                           
Vardas1000     Pavarde1000    4.8                           
