Vardas	       Pavarde	      Galutinis pazymys pagal mediana
Vardas87       Pavarde87      7.4                           
Vardas88       Pavarde88      5                             
Vardas89       Pavarde89      5                             
Vardas90       Pavarde90      5                             
Vardas91       Pavarde91      7.4                           
Vardas95       Pavarde95      8                             
Vardas96       Pavarde96      6.8                           
Vardas98       Pavarde98      6.8                           
Vardas101      Pavarde101     7.4                           
Vardas102      Pavarde102     6.8                           
Vardas107      Pavarde107     6                             
Vardas111      Pavarde111     8.4                           
Vardas112      Pavarde112     5                             
Vardas113      Pavarde113     5.6                           
Vardas114      Pavarde114     6.4                           
Vardas116      Pavarde116     5                             
Vardas118      Pavarde118     6.8                           
Vardas119      Pavarde119     6.2                           
Vardas120      Pavarde120     8                             
Vardas122      Pavarde122     8                             
Vardas123      Pavarde123     7.4                           
Vardas126      Pavarde126     6.8                           
Vardas127      Pavarde127     8                             
Vardas129      Pavarde129     6.8                           
Vardas131      Pavarde131     7.4                           
Vardas132      Pavarde132     5                             
Vardas133      Pavarde133     8                             
Vardas134      Pavarde134     5.6                           
Vardas135      Pavarde135     5.6                           
Vardas136      Pavarde136     7                             
Vardas137      Pavarde137     6.2                           
Vardas138      Pavarde138     5                             
Vardas139      Pavarde139     6.8                           
Vardas140      Pavarde140     6.2                           
Vardas141      Pavarde141     6.2                           
Vardas142      Pavarde142     5.6                           
Vardas144      Pavarde144     7.2                           
Vardas145      Pavarde145     5.4                           
Vardas148      Pavarde148     8.4                           
Vardas150      Pavarde150     5.4                           
Vardas151      Pavarde151     6                             
Vardas153      Pavarde153     6.6                           
Vardas154      Pavarde154     5.4                           
Vardas156      Pavarde156     6.6                           
Vardas158      Pavarde158     7.8                           
Vardas159      Pavarde159     5.4                           
Vardas160      Pavarde160     7.8                           
Vardas161      Pavarde161     6.6                           
Vardas162      Pavarde162     8.4                           
Vardas164      Pavarde164     5.4                           
Vardas165      Pavarde165     5.4                           
Vardas166      Pavarde166     8.4                           
Vardas167      Pavarde167     6.6                           
Vardas169      Pavarde169     6                             
Vardas171      Pavarde171     7.2                           
Vardas175      Pavarde175     7.2                           
Vardas176      Pavarde176     6.6                           
Vardas178      Pavarde178     7.2                           
Vardas179      Pavarde179     7.8                           
Vardas183      Pavarde183     5.4                           
Vardas184      Pavarde184     6.6                           
Vardas185      Pavarde185     8.4                           
Vardas186      Pavarde186     7.8                           
Vardas188      Pavarde188     6.4                           
Vardas189      Pavarde189     7.4                           
Vardas190      Pavarde190     5                             
Vardas191      Pavarde191     6.2                           
Vardas193      Pavarde193     6                             
Vardas194      Pavarde194     6.6                           
Vardas196      Pavarde196     6.6                           
Vardas198      Pavarde198     8.4                           
Vardas199      Pavarde199     7.8                           
Vardas200      Pavarde200     6.6                           
Vardas201      Pavarde201     8.4                           
Vardas204      Pavarde204     6.2                           
Vardas205      Pavarde205     8                             
Vardas207      Pavarde207     5                             
Vardas209      Pavarde209     5.6                           
Vardas212      Pavarde212     5.2                           
Vardas215      Pavarde215     7.8                           
Vardas216      Pavarde216     6.4                           
Vardas217      Pavarde217     7.8                           
Vardas218      Pavarde218     6                             
Vardas220      Pavarde220     8.4                           
Vardas221      Pavarde221     6.6                           
Vardas223      Pavarde223     6                             
Vardas224      Pavarde224     7.8                           
Vardas226      Pavarde226     8.2                           
Vardas228      Pavarde228     5.2                           
Vardas231      Pavarde231     5                             
Vardas233      Pavarde233     6.2                           
Vardas234      Pavarde234     6.8                           
Vardas237      Pavarde237     8                             
Vardas238      Pavarde238     7.4                           
Vardas239      Pavarde239     8                             
Vardas240      Pavarde240     7.4                           
Vardas242      Pavarde242     7.4                           
Vardas243      Pavarde243     8                             
Vardas245      Pavarde245     6.2                           
Vardas246      Pavarde246     6.2                           
Vardas247      Pavarde247     5                             
Vardas251      Pavarde251     5.6                           
Vardas252      Pavarde252     5.6                           
Vardas253      Pavarde253     6.8                           
Vardas255      Pavarde255     5                             
Vardas257      Pavarde257     6.2                           
Vardas258      Pavarde258     7.4                           
Vardas259      Pavarde259     8                             
Vardas262      Pavarde262     6.2                           
Vardas263      Pavarde263     6.2                           
Vardas265      Pavarde265     6.2                           
Vardas266      Pavarde266     5.6                           
Vardas267      Pavarde267     5                             
Vardas269      Pavarde269     6.2                           
Vardas270      Pavarde270     6.8                           
Vardas271      Pavarde271     6.2                           
Vardas272      Pavarde272     7.4                           
Vardas275      Pavarde275     6.2                           
Vardas276      Pavarde276     5.6                           
Vardas277      Pavarde277     6.8                           
Vardas278      Pavarde278     6.2                           
Vardas279      Pavarde279     6.8                           
Vardas280      Pavarde280     7.4                           
Vardas281      Pavarde281     6.2                           
Vardas282      Pavarde282     6.8                           
Vardas283      Pavarde283     5                             
Vardas287      Pavarde287     7.4                           
Vardas289      Pavarde289     6.2                           
Vardas290      Pavarde290     5                             
Vardas291      Pavarde291     5.6                           
Vardas293      Pavarde293     6.8                           
Vardas294      Pavarde294     8                             
Vardas295      Pavarde295     7.4                           
Vardas296      Pavarde296     6.8                           
Vardas297      Pavarde297     7.4                           
Vardas299      Pavarde299     6.2                           
Vardas300      Pavarde300     5.6                           
Vardas302      Pavarde302     6.8                           
Vardas303      Pavarde303     7.4                           
Vardas304      Pavarde304     7.8                           
Vardas305      Pavarde305     5.6                           
Vardas306      Pavarde306     8                             
Vardas307      Pavarde307     5                             
Vardas308      Pavarde308     6.2                           
Vardas309      Pavarde309     6.2                           
Vardas310      Pavarde310     5.2                           
Vardas311      Pavarde311     8                             
Vardas312      Pavarde312     7.4                           
Vardas314      Pavarde314     7.4                           
Vardas315      Pavarde315     7.4                           
Vardas317      Pavarde317     7.4                           
Vardas318      Pavarde318     7.4                           
Vardas320      Pavarde320     8                             
Vardas321      Pavarde321     8                             
Vardas322      Pavarde322     6.2                           
Vardas323      Pavarde323     7.4                           
Vardas325      Pavarde325     7.4                           
Vardas326      Pavarde326     8                             
Vardas329      Pavarde329     5.6                           
Vardas331      Pavarde331     6.8                           
Vardas332      Pavarde332     5.2                           
Vardas333      Pavarde333     6.8                           
Vardas336      Pavarde336     6.2                           
Vardas337      Pavarde337     5.6                           
Vardas338      Pavarde338     6.8                           
Vardas339      Pavarde339     6                             
Vardas341      Pavarde341     7.2                           
Vardas342      Pavarde342     7                             
Vardas344      Pavarde344     8.4                           
Vardas345      Pavarde345     8.4                           
Vardas346      Pavarde346     7.2                           
Vardas347      Pavarde347     5.4                           
Vardas349      Pavarde349     8.4                           
Vardas351      Pavarde351     6                             
Vardas354      Pavarde354     5.4                           
Vardas355      Pavarde355     8.4                           
Vardas357      Pavarde357     6                             
Vardas358      Pavarde358     5.4                           
Vardas360      Pavarde360     6.6                           
Vardas364      Pavarde364     5.4                           
Vardas365      Pavarde365     7.8                           
Vardas366      Pavarde366     7.2                           
Vardas367      Pavarde367     7.8                           
Vardas370      Pavarde370     6.6                           
Vardas373      Pavarde373     5.4                           
Vardas374      Pavarde374     7.2                           
Vardas376      Pavarde376     5.4                           
Vardas378      Pavarde378     7.8                           
Vardas381      Pavarde381     5.4                           
Vardas383      Pavarde383     6                             
Vardas384      Pavarde384     6                             
Vardas385      Pavarde385     6.6                           
Vardas386      Pavarde386     8.4                           
Vardas387      Pavarde387     6.6                           
Vardas388      Pavarde388     6                             
Vardas394      Pavarde394     8.4                           
Vardas397      Pavarde397     6.6                           
Vardas398      Pavarde398     8.4                           
Vardas399      Pavarde399     6.6                           
Vardas400      Pavarde400     8.4                           
Vardas401      Pavarde401     6                             
Vardas402      Pavarde402     7.8                           
Vardas403      Pavarde403     7.2                           
Vardas404      Pavarde404     8.4                           
Vardas406      Pavarde406     5.4                           
Vardas407      Pavarde407     6                             
Vardas408      Pavarde408     8.4                           
Vardas411      Pavarde411     6.6                           
Vardas413      Pavarde413     5.4                           
Vardas414      Pavarde414     8.4                           
Vardas416      Pavarde416     6                             
Vardas417      Pavarde417     8.4                           
Vardas418      Pavarde418     7.6                           
Vardas420      Pavarde420     8.4                           
Vardas421      Pavarde421     7.8                           
Vardas428      Pavarde428     8.4                           
Vardas429      Pavarde429     6                             
Vardas430      Pavarde430     5.4                           
Vardas431      Pavarde431     6                             
Vardas433      Pavarde433     6.6                           
Vardas434      Pavarde434     7.2                           
Vardas440      Pavarde440     5.4                           
Vardas441      Pavarde441     7.8                           
Vardas442      Pavarde442     6.6                           
Vardas443      Pavarde443     8.4                           
Vardas444      Pavarde444     6.6                           
Vardas445      Pavarde445     7.2                           
Vardas446      Pavarde446     8.4                           
Vardas448      Pavarde448     8.4                           
Vardas449      Pavarde449     7.8                           
Vardas451      Pavarde451     6                             
Vardas452      Pavarde452     6                             
Vardas453      Pavarde453     6.6                           
Vardas454      Pavarde454     6.6                           
Vardas455      Pavarde455     7.2                           
Vardas456      Pavarde456     7.2                           
Vardas457      Pavarde457     5.4                           
Vardas458      Pavarde458     7.8                           
Vardas459      Pavarde459     8.4                           
Vardas460      Pavarde460     7.8                           
Vardas461      Pavarde461     6                             
Vardas462      Pavarde462     6.6                           
Vardas465      Pavarde465     7.2                           
Vardas466      Pavarde466     5.4                           
Vardas468      Pavarde468     6                             
Vardas469      Pavarde469     8.4                           
Vardas471      Pavarde471     6.6                           
Vardas472      Pavarde472     7.8                           
Vardas473      Pavarde473     7.2                           
Vardas477      Pavarde477     6                             
Vardas480      Pavarde480     8.4                           
Vardas481      Pavarde481     5.4                           
Vardas483      Pavarde483     6                             
Vardas484      Pavarde484     8.4                           
Vardas485      Pavarde485     6.6                           
Vardas486      Pavarde486     8.4                           
Vardas489      Pavarde489     5.4                           
Vardas491      Pavarde491     5.4                           
Vardas492      Pavarde492     5.4                           
Vardas497      Pavarde497     8.4                           
Vardas499      Pavarde499     6                             
Vardas500      Pavarde500     6.6                           
Vardas501      Pavarde501     7.2                           
Vardas502      Pavarde502     6                             
Vardas503      Pavarde503     6.6                           
Vardas504      Pavarde504     5.4                           
Vardas507      Pavarde507     7.2                           
Vardas508      Pavarde508     5.4                           
Vardas509      Pavarde509     7.8                           
Vardas510      Pavarde510     7.2                           
Vardas512      Pavarde512     5.4                           
Vardas514      Pavarde514     5.4                           
Vardas516      Pavarde516     8.4                           
Vardas518      Pavarde518     6.6                           
Vardas520      Pavarde520     6                             
Vardas521      Pavarde521     7.8                           
Vardas523      Pavarde523     6                             
Vardas524      Pavarde524     8.4                           
Vardas525      Pavarde525     6.6                           
Vardas527      Pavarde527     7.8                           
Vardas529      Pavarde529     8.4                           
Vardas530      Pavarde530     8.4                           
Vardas531      Pavarde531     7.2                           
Vardas532      Pavarde532     6                             
Vardas535      Pavarde535     6.6                           
Vardas536      Pavarde536     6.6                           
Vardas537      Pavarde537     8.4                           
Vardas539      Pavarde539     6.6                           
Vardas541      Pavarde541     6.6                           
Vardas542      Pavarde542     8.4                           
Vardas543      Pavarde543     5.4                           
Vardas544      Pavarde544     7.2                           
Vardas547      Pavarde547     7.8                           
Vardas548      Pavarde548     7.8                           
Vardas550      Pavarde550     6                             
Vardas552      Pavarde552     7.8                           
Vardas553      Pavarde553     7.8                           
Vardas555      Pavarde555     7.2                           
Vardas556      Pavarde556     6.6                           
Vardas560      Pavarde560     5.4                           
Vardas562      Pavarde562     5.4                           
Vardas563      Pavarde563     7.8                           
Vardas565      Pavarde565     7.8                           
Vardas568      Pavarde568     7.2                           
Vardas569      Pavarde569     6                             
Vardas570      Pavarde570     5.4                           
Vardas573      Pavarde573     8.4                           
Vardas574      Pavarde574     8.4                           
Vardas575      Pavarde575     6.6                           
Vardas576      Pavarde576     7.8                           
Vardas579      Pavarde579     8.4                           
Vardas581      Pavarde581     7.8                           
Vardas583      Pavarde583     6.6                           
Vardas584      Pavarde584     7.8                           
Vardas587      Pavarde587     7.8                           
Vardas589      Pavarde589     7.2                           
Vardas591      Pavarde591     6                             
Vardas593      Pavarde593     7.2                           
Vardas594      Pavarde594     6                             
Vardas597      Pavarde597     7.2                           
Vardas598      Pavarde598     8.4                           
Vardas600      Pavarde600     6                             
Vardas603      Pavarde603     6.6                           
Vardas604      Pavarde604     7.8                           
Vardas605      Pavarde605     6.6                           
Vardas606      Pavarde606     7.2                           
Vardas607      Pavarde607     6                             
Vardas608      Pavarde608     7.2                           
Vardas609      Pavarde609     8.4                           
Vardas611      Pavarde611     7.2                           
Vardas612      Pavarde612     7.2                           
Vardas613      Pavarde613     6                             
Vardas614      Pavarde614     7.8                           
Vardas617      Pavarde617     8.4                           
Vardas620      Pavarde620     7.2                           
Vardas622      Pavarde622     6                             
Vardas624      Pavarde624     7.8                           
Vardas625      Pavarde625     6.6                           
Vardas626      Pavarde626     6.6                           
Vardas631      Pavarde631     6                             
Vardas633      Pavarde633     7.8                           
Vardas635      Pavarde635     7.8                           
Vardas636      Pavarde636     8.4                           
Vardas637      Pavarde637     8.4                           
Vardas638      Pavarde638     7.2                           
Vardas642      Pavarde642     7.8                           
Vardas644      Pavarde644     8.4                           
Vardas647      Pavarde647     6.6                           
Vardas649      Pavarde649     6.6                           
Vardas650      Pavarde650     6                             
Vardas651      Pavarde651     7.2                           
Vardas653      Pavarde653     5.4                           
Vardas654      Pavarde654     6.6                           
Vardas655      Pavarde655     6                             
Vardas656      Pavarde656     7.2                           
Vardas657      Pavarde657     7.2                           
Vardas658      Pavarde658     7.8                           
Vardas659      Pavarde659     8.4                           
Vardas660      Pavarde660     6                             
Vardas662      Pavarde662     7.2                           
Vardas664      Pavarde664     5.4                           
Vardas665      Pavarde665     8.4                           
Vardas670      Pavarde670     7.2                           
Vardas671      Pavarde671     6.6                           
Vardas675      Pavarde675     5.4                           
Vardas677      Pavarde677     7.8                           
Vardas678      Pavarde678     6.6                           
Vardas679      Pavarde679     8.4                           
Vardas682      Pavarde682     8.4                           
Vardas683      Pavarde683     6                             
Vardas684      Pavarde684     6                             
Vardas685      Pavarde685     8.4                           
Vardas686      Pavarde686     7.8                           
Vardas687      Pavarde687     6.6                           
Vardas688      Pavarde688     5.4                           
Vardas689      Pavarde689     6.6                           
Vardas690      Pavarde690     5.4                           
Vardas691      Pavarde691     5.4                           
Vardas692      Pavarde692     5.4                           
Vardas694      Pavarde694     6.6                           
Vardas695      Pavarde695     7.8                           
Vardas697      Pavarde697     7.2                           
Vardas698      Pavarde698     7.2                           
Vardas700      Pavarde700     7.2                           
Vardas701      Pavarde701     5.4                           
Vardas702      Pavarde702     5.4                           
Vardas703      Pavarde703     7.2                           
Vardas704      Pavarde704     7.8                           
Vardas705      Pavarde705     6.6                           
Vardas706      Pavarde706     6.6                           
Vardas707      Pavarde707     5.4                           
Vardas708      Pavarde708     5.4                           
Vardas709      Pavarde709     8.4                           
Vardas710      Pavarde710     5.4                           
Vardas712      Pavarde712     6                             
Vardas713      Pavarde713     6.6                           
Vardas714      Pavarde714     7.8                           
Vardas717      Pavarde717     7.2                           
Vardas718      Pavarde718     6.6                           
Vardas719      Pavarde719     7.2                           
Vardas720      Pavarde720     7.2                           
Vardas721      Pavarde721     7.2                           
Vardas722      Pavarde722     5.4                           
Vardas723      Pavarde723     5.4                           
Vardas724      Pavarde724     7.2                           
Vardas725      Pavarde725     7.2                           
Vardas726      Pavarde726     6                             
Vardas727      Pavarde727     6.6                           
Vardas728      Pavarde728     7.2                           
Vardas730      Pavarde730     5.4                           
Vardas733      Pavarde733     7.8                           
Vardas734      Pavarde734     6                             
Vardas735      Pavarde735     6.6                           
Vardas736      Pavarde736     6.6                           
Vardas738      Pavarde738     6                             
Vardas739      Pavarde739     7.8                           
Vardas740      Pavarde740     6.6                           
Vardas741      Pavarde741     6                             
Vardas742      Pavarde742     7.8                           
Vardas743      Pavarde743     7.2                           
Vardas744      Pavarde744     8.4                           
Vardas745      Pavarde745     6.6                           
Vardas747      Pavarde747     8.4                           
Vardas748      Pavarde748     5.4                           
Vardas750      Pavarde750     5.4                           
Vardas751      Pavarde751     5.4                           
Vardas752      Pavarde752     5.4                           
Vardas753      Pavarde753     7.2                           
Vardas754      Pavarde754     6.6                           
Vardas755      Pavarde755     6.6                           
Vardas756      Pavarde756     6.6                           
Vardas757      Pavarde757     5.4                           
Vardas758      Pavarde758     7.2                           
Vardas759      Pavarde759     5.4                           
Vardas760      Pavarde760     6                             
Vardas761      Pavarde761     6.6                           
Vardas764      Pavarde764     7.8                           
Vardas765      Pavarde765     6                             
Vardas766      Pavarde766     5.4                           
Vardas768      Pavarde768     6                             
Vardas769      Pavarde769     6                             
Vardas770      Pavarde770     6                             
Vardas771      Pavarde771     7.8                           
Vardas772      Pavarde772     6.6                           
Vardas773      Pavarde773     7.8                           
Vardas775      Pavarde775     6                             
Vardas776      Pavarde776     7.8                           
Vardas777      Pavarde777     5.4                           
Vardas779      Pavarde779     6.6                           
Vardas780      Pavarde780     7.2                           
Vardas781      Pavarde781     7.8                           
Vardas782      Pavarde782     5.4                           
Vardas784      Pavarde784     5.4                           
Vardas785      Pavarde785     6                             
Vardas786      Pavarde786     6                             
Vardas787      Pavarde787     7.2                           
Vardas788      Pavarde788     6                             
Vardas789      Pavarde789     7.8                           
Vardas790      Pavarde790     8.4                           
Vardas791      Pavarde791     6.6                           
Vardas792      Pavarde792     7.2                           
Vardas793      Pavarde793     5.4                           
Vardas795      Pavarde795     6.6                           
Vardas796      Pavarde796     7.8                           
Vardas801      Pavarde801     8.4                           
Vardas802      Pavarde802     7.8                           
Vardas803      Pavarde803     6.6                           
Vardas805      Pavarde805     6.6                           
Vardas806      Pavarde806     7.8                           
Vardas808      Pavarde808     6.6                           
Vardas809      Pavarde809     6.6                           
Vardas810      Pavarde810     6                             
Vardas813      Pavarde813     6.6                           
Vardas815      Pavarde815     5.4                           
Vardas816      Pavarde816     5.4                           
Vardas819      Pavarde819     6                             
Vardas822      Pavarde822     6                             
Vardas825      Pavarde825     5.4                           
Vardas826      Pavarde826     7.2                           
Vardas827      Pavarde827     5.4                           
Vardas830      Pavarde830     7.8                           
Vardas833      Pavarde833     8.4                           
Vardas836      Pavarde836     7.8                           
Vardas837      Pavarde837     6                             
Vardas838      Pavarde838     8.4                           
Vardas841      Pavarde841     6.6                           
Vardas843      Pavarde843     6                             
Vardas844      Pavarde844     6                             
Vardas845      Pavarde845     8.4                           
Vardas847      Pavarde847     6.6                           
Vardas848      Pavarde848     5.4                           
Vardas849      Pavarde849     5.4                           
Vardas850      Pavarde850     7.2                           
Vardas851      Pavarde851     7.8                           
Vardas854      Pavarde854     8.4                           
Vardas855      Pavarde855     7.2                           
Vardas860      Pavarde860     6                             
Vardas862      Pavarde862     6.6                           
Vardas863      Pavarde863     6.6                           
Vardas864      Pavarde864     5.4                           
Vardas865      Pavarde865     6.6                           
Vardas868      Pavarde868     6                             
Vardas869      Pavarde869     5.4                           
Vardas871      Pavarde871     5.4                           
Vardas872      Pavarde872     8.4                           
Vardas876      Pavarde876     8.4                           
Vardas878      Pavarde878     7.2                           
Vardas881      Pavarde881     7.8                           
Vardas882      Pavarde882     5.4                           
Vardas887      Pavarde887     8.4                           
Vardas888      Pavarde888     6                             
Vardas889      Pavarde889     8.4                           
Vardas890      Pavarde890     7.2                           
Vardas891      Pavarde891     7.8                           
Vardas893      Pavarde893     6.6                           
Vardas895      Pavarde895     6.6                           
Vardas896      Pavarde896     6                             
Vardas898      Pavarde898     7.2                           
Vardas899      Pavarde899     6                             
Vardas900      Pavarde900     6.6                           
Vardas901      Pavarde901     6.6                           
Vardas904      Pavarde904     8.4                           
Vardas906      Pavarde906     5.8                           
Vardas910      Pavarde910     5.4                           
Vardas914      Pavarde914     7.8                           
Vardas915      Pavarde915     5.4                           
Vardas916      Pavarde916     7.2                           
Vardas917      Pavarde917     5.4                           
Vardas919      Pavarde919     5.4                           
Vardas920      Pavarde920     7.8                           
Vardas921      Pavarde921     6.6                           
Vardas922      Pavarde922     6.6                           
Vardas924      Pavarde924     6                             
Vardas926      Pavarde926     7.8                           
Vardas928      Pavarde928     6                             
Vardas929      Pavarde929     5.4                           
Vardas930      Pavarde930     7.8                           
Vardas931      Pavarde931     7.2                           
Vardas932      Pavarde932     8.4                           
Vardas933      Pavarde933     8.4                           
Vardas934      Pavarde934     7.2                           
Vardas937      Pavarde937     6                             
Vardas938      Pavarde938     7.2                           
Vardas940      Pavarde940     8.4                           
Vardas941      Pavarde941     6.6                           
Vardas942      Pavarde942     5.4                           
Vardas943      Pavarde943     7.2                           
Vardas944      Pavarde944     7.8                           
Vardas946      Pavarde946     6.6                           
Vardas947      Pavarde947     5.4                           
Vardas948      Pavarde948     6.6                           
Vardas949      Pavarde949     5.4                           
Vardas951      Pavarde951     5.4                           
Vardas953      Pavarde953     6                             
Vardas954      Pavarde954     8.4                           
Vardas956      Pavarde956     7.8                           
Vardas960      Pavarde960     8.4                           
Vardas961      Pavarde961     6                             
Vardas962      Pavarde962     8.4                           
Vardas963      Pavarde963     5.4                           
Vardas965      Pavarde965     7.2                           
Vardas966      Pavarde966     8.4                           
Vardas967      Pavarde967     5.4                           
Vardas968      Pavarde968     5.4                           
Vardas969      Pavarde969     5.4                           
Vardas973      Pavarde973     6                             
Vardas975      Pavarde975     6.6                           
Vardas976      Pavarde976     7.2                           
Vardas978      Pavarde978     6.6                           
Vardas979      Pavarde979     7.8                           
Vardas981      Pavarde981     6.6                           
Vardas982      Pavarde982     7.8                           
Vardas983      Pavarde983     8.4                           
Vardas984      Pavarde984     8.4                           
Vardas985      Pavarde985     8.4                           
Vardas988      Pavarde988     8.4                           
Vardas990      Pavarde990     6.6                           
Vardas991      Pavarde991     7.8                           
Vardas992      Pavarde992     8.4                           
Vardas993      Pavarde993     6                             
Vardas995      Pavarde995     7.8                           
Vardas996      Pavarde996     7.2                           
